"id","name","location","st_asewkt"
1403933,"Paris, France","0101000020E6100000D87A2BB759D10240DBA50D87A56D4840","SRID=4326;POINT(2.3522219 48.856614)"
1403936,"Berlin, Germany","0101000020E6100000CEC4742156CF2A40225A86938F424A40","SRID=4326;POINT(13.404954 52.5200066)"
1404999,"CC Premium Choice","0101000020E610000000000000000000000000000000000000","SRID=4326;POINT(0 0)"
1403934,"Glasgow, UK","0101000020E61000000EBF9B6ED90111C0207F69519FEE4B40","SRID=4326;POINT(-4.251806 55.864237)"
1403937,"Birmingham, UK","0101000020E61000000D36751E153FFEBF5874EB353D3E4A40","SRID=4326;POINT(-1.890401 52.486243)"
1403938,"Montreal, QC, Canada","0101000020E6100000AD6EF59C746352C0D47A64181CC14640","SRID=4326;POINT(-73.5539925 45.5086699)"
1403939,"Amsterdam, NL","0101000020E61000004BB7DBE4A69413409EFB613A632F4A40","SRID=4326;POINT(4.8951679 52.3702157)"
1406455,"> VideoTV","0101000020E610000000000000000000000000000000000000","SRID=4326;POINT(0 0)"
1404031,"Rádio, tv e Vídeo - Faculdades Metropolitanas Unidas, Complexo Educacional FMU Campus Morumbi Prédio 19 - Jardim Everest, São Paulo, Brazil","0101000020E61000006CE9D1544F5A47C0EBC37AA3569437C0","SRID=4326;POINT(-46.705546 -23.579447)"
1124196,"Quad Cities Periodontics, 1800 E 54th St # A, Davenport, IA 52807, USA","0101000020E6100000F0DB10E335A356C0D124B1A4DCC94440","SRID=4326;POINT(-90.550164 41.577046)"
